pdf contribution,dr,Ephi,tres,eX,eY,eZ,eT,eZenith,eAzimuth
3.66831, 47.3565, 1.95337, 30.4473, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.67292, 47.3565, 1.95337, 30.8519, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.72312, 47.3565, 1.95337, 33.1477, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.78683, 47.3565, 1.95337, 34.955, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.8585, 47.3565, 1.95337, 36.5844, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.96929, 47.3565, 1.95337, 38.7472, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
4.31939, 47.3565, 1.95337, 44.6483, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.23808, 47.3565, 1.95337, 61.6934, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.24379, 47.3565, 1.95337, 61.8252, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.71935, 47.3565, 1.95337, 75.582, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
5.7744, 47.3565, 1.95337, 77.7324, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.1411, 47.3565, 1.95337, 97.2457, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.52961, 47.3565, 1.95337, 121.769, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
6.61859, 47.3565, 1.95337, 127.79, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
7.96627, 47.3565, 1.95337, 237.826, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.84574, 42.9131, 1.38553, 11.7309, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.5383, 42.9131, 1.38553, 12.6662, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.47437, 42.9131, 1.38553, 12.9121, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.30102, 42.9131, 1.38553, 13.6642, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.28586, 42.9131, 1.38553, 13.7359, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.2339, 42.9131, 1.38553, 14.0015, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.20983, 42.9131, 1.38553, 14.1388, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.18814, 42.9131, 1.38553, 14.2713, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.16719, 42.9131, 1.38553, 14.4059, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.06697, 42.9131, 1.38553, 15.0738, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.06124, 42.9131, 1.38553, 15.1156, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.04177, 42.9131, 1.38553, 15.2708, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.0092, 42.9131, 1.38553, 15.6316, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
3.00851, 42.9131, 1.38553, 15.6419, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.99375, 42.9131, 1.38553, 15.8877, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.96419, 42.9131, 1.38553, 16.3359, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.9558, 42.9131, 1.38553, 16.4495, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.9522, 42.9131, 1.38553, 16.4998, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94479, 42.9131, 1.38553, 16.6117, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.94043, 42.9131, 1.38553, 16.6877, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.93745, 42.9131, 1.38553, 16.7478, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
2.92761, 42.9131, 1.38553, 17.2911, -475.123, -347.197, -170.989, 0, 2.10793, 6.06428
